,date,count,weekday
325,2018-04-23,24,Monday
326,2016-12-04,24,Sunday
327,2018-07-03,24,Tuesday
328,2017-02-02,24,Thursday
329,2018-10-02,24,Tuesday
330,2018-09-19,24,Wednesday
331,2019-03-22,24,Friday
332,2018-05-31,24,Thursday
333,2017-04-08,24,Saturday
334,2018-04-08,24,Sunday
335,2019-02-07,24,Thursday
336,2018-03-18,24,Sunday
337,2016-11-09,24,Wednesday
338,2019-03-16,24,Saturday
339,2018-07-24,23,Tuesday
340,2017-07-27,23,Thursday
341,2016-08-07,23,Sunday
342,2019-01-16,23,Wednesday
343,2018-03-12,23,Monday
344,2016-09-27,23,Tuesday
345,2018-12-25,23,Tuesday
346,2017-02-12,23,Sunday
347,2016-11-29,22,Tuesday
348,2017-08-04,22,Friday
349,2017-05-08,22,Monday
350,2016-12-01,22,Thursday
351,2018-07-23,22,Monday
352,2019-03-23,22,Saturday
353,2018-03-11,22,Sunday
354,2016-10-12,22,Wednesday
355,2018-10-16,22,Tuesday
356,2018-08-14,22,Tuesday
357,2018-03-25,22,Sunday
358,2018-03-19,22,Monday
359,2019-03-05,21,Tuesday
360,2017-06-22,21,Thursday
361,2017-08-18,21,Friday
362,2017-06-06,21,Tuesday
363,2018-03-16,21,Friday
364,2017-08-30,21,Wednesday
365,2017-08-26,21,Saturday
366,2017-03-22,21,Wednesday
367,2017-05-12,21,Friday
368,2016-09-04,21,Sunday
369,2017-03-25,21,Saturday
370,2017-10-24,20,Tuesday
371,2016-06-03,20,Friday
372,2017-12-01,20,Friday
373,2018-01-14,20,Sunday
374,2016-05-27,20,Friday
375,2017-11-13,20,Monday
376,2018-01-18,20,Thursday
377,2018-09-13,20,Thursday
378,2018-03-29,20,Thursday
379,2018-11-03,20,Saturday
380,2017-08-28,20,Monday
381,2017-09-13,19,Wednesday
382,2017-01-24,19,Tuesday
383,2018-11-24,19,Saturday
384,2017-10-18,19,Wednesday
385,2018-04-01,19,Sunday
386,2016-09-10,19,Saturday
387,2016-08-02,19,Tuesday
388,2017-07-23,19,Sunday
389,2017-06-17,19,Saturday
390,2017-02-03,18,Friday
391,2018-05-06,18,Sunday
392,2018-01-09,18,Tuesday
393,2017-04-20,18,Thursday
394,2016-08-30,18,Tuesday
395,2016-10-15,18,Saturday
396,2018-04-25,18,Wednesday
397,2017-06-19,18,Monday
398,2017-04-24,18,Monday
399,2017-04-12,18,Wednesday
400,2018-12-22,18,Saturday
401,2019-02-03,18,Sunday
402,2018-08-19,17,Sunday
403,2018-10-21,17,Sunday
404,2018-08-22,17,Wednesday
405,2017-07-29,17,Saturday
406,2017-05-04,17,Thursday
407,2018-10-29,17,Monday
408,2017-09-04,17,Monday
409,2017-11-01,17,Wednesday
410,2016-07-22,17,Friday
411,2019-01-23,17,Wednesday
412,2018-06-25,17,Monday
413,2018-11-29,17,Thursday
414,2017-10-13,16,Friday
415,2017-11-29,16,Wednesday
416,2018-11-06,16,Tuesday
417,2018-04-30,16,Monday
418,2017-08-07,16,Monday
419,2018-10-14,16,Sunday
420,2018-12-03,16,Monday
421,2018-06-02,16,Saturday
422,2017-03-06,16,Monday
423,2017-10-30,16,Monday
424,2018-10-07,16,Sunday
425,2018-04-29,16,Sunday
426,2017-09-17,16,Sunday
427,2017-02-01,16,Wednesday
428,2019-01-24,16,Thursday
429,2017-09-01,16,Friday
430,2017-09-07,15,Thursday
431,2018-05-09,15,Wednesday
432,2016-10-02,15,Sunday
433,2017-07-11,15,Tuesday
434,2017-05-17,15,Wednesday
435,2017-08-29,15,Tuesday
436,2018-05-02,15,Wednesday
437,2016-08-20,15,Saturday
438,2017-12-20,15,Wednesday
439,2018-05-10,15,Thursday
440,2017-09-08,15,Friday
441,2017-12-27,15,Wednesday
442,2017-05-09,15,Tuesday
443,2018-10-23,15,Tuesday
444,2017-06-23,15,Friday
445,2016-10-30,15,Sunday
446,2018-04-22,15,Sunday
447,2019-03-02,15,Saturday
448,2016-10-10,15,Monday
449,2016-10-23,15,Sunday
450,2017-11-15,14,Wednesday
451,2018-05-05,14,Saturday
452,2016-05-18,14,Wednesday
453,2017-12-10,14,Sunday
454,2019-03-25,14,Monday
455,2016-12-05,14,Monday
456,2017-07-28,14,Friday
457,2018-04-02,14,Monday
458,2017-07-22,14,Saturday
459,2017-12-19,14,Tuesday
460,2018-04-12,14,Thursday
461,2019-02-15,14,Friday
462,2017-11-24,14,Friday
463,2018-04-07,14,Saturday
464,2016-10-03,14,Monday
465,2018-11-11,14,Sunday
466,2017-02-04,14,Saturday
467,2018-06-01,14,Friday
468,2017-01-30,14,Monday
469,2018-10-10,14,Wednesday
470,2016-11-21,14,Monday
471,2018-10-20,14,Saturday
472,2018-10-24,13,Wednesday
473,2019-01-17,13,Thursday
474,2017-03-17,13,Friday
475,2018-04-05,13,Thursday
476,2018-10-30,13,Tuesday
477,2017-09-10,13,Sunday
478,2018-11-16,13,Friday
479,2018-11-23,13,Friday
480,2016-11-17,13,Thursday
481,2018-03-23,13,Friday
482,2018-06-26,13,Tuesday
483,2018-08-15,13,Wednesday
484,2017-07-20,13,Thursday
485,2017-05-30,13,Tuesday
486,2019-02-11,13,Monday
487,2018-10-26,13,Friday
488,2018-05-03,13,Thursday
489,2017-08-01,13,Tuesday
490,2017-05-26,13,Friday
491,2017-08-27,13,Sunday
492,2017-03-20,13,Monday
493,2019-01-02,13,Wednesday
494,2017-09-23,13,Saturday
495,2017-02-28,12,Tuesday
496,2017-07-07,12,Friday
497,2018-10-09,12,Tuesday
498,2018-11-12,12,Monday
499,2016-11-22,12,Tuesday
